#TYPE System.Management.Automation.PSCustomObject
"Hostname","OS Version","AD Status"
"TAG1912.STO.COM",,"Could not find object."
"TAG1908.STO.COM",,"Could not find object."
"SCHEDULING-P3P6.STO.COM",,"False"
"TAG1904.STO.COM",,"Could not find object."
"TAG1903.STO.COM",,"Could not find object."
"L-SAN-NH1.STO.COM",,"False"
"L-DAL-DHAYS1.STO.COM",,"False"
"L-DAL-IMELINTE2.STO.COM",,"False"
"TAG1897.STO.COM",,"Could not find object."
"L-DAL-MGORDON1.STO.COM",,"False"
"L-DAL-KSTAMPER2.STO.COM",,"False"
"TAG1894.STO.COM",,"Could not find object."
"TAG1889.STO.COM",,"Could not find object."
"TAG1888.STO.COM",,"Could not find object."
"L-DAL-CASTILLO2.STO.COM",,"Could not find object."
"D-DAL-TBOUCHE2.STO.COM",,"Could not find object."
"L-DAL-DRANSOME2.STO.COM",,"False"
"D-DAL-CTURNER2.STO.COM",,"Could not find object."
"D-HOU-CSOTELO1.STO.COM",,"Could not find object."
"D-DAL-SMORGAN.STO.COM",,"Could not find object."
"L-HOU-MMAERZ1.STO.COM",,"False"
"TAG1886.STO.COM",,"Could not find object."
"L-DAL-KMULLINS2.STO.COM",,"False"
"TAG1876.STO.COM",,"Could not find object."
"TAG1879.STO.COM",,"Could not find object."
"TAG1878.STO.COM",,"Could not find object."
"TAG1874.STO.COM",,"Could not find object."
"TAG1875.STO.COM",,"Could not find object."
"TAG1872.STO.COM",,"Could not find object."
"TAG1871.STO.COM",,"Could not find object."
"TAG1887.STO.COM",,"Could not find object."
"TAG1866.STO.COM",,"Could not find object."
"L-DAL-DPETTIT2.STO.COM",,"False"
"L-DAL-WSCRIB2.STO.COM",,"False"
"L-DAL-GREED2.STO.COM",,"False"
"L-DAL-BFRANKLI2.STO.COM",,"Could not find object."
"TAG1863.STO.COM",,"Could not find object."
"TAG1865.STO.COM",,"Could not find object."
"L-SAN-DBAKER2.STO.COM",,"False"
"L-SAN-LWOODS1.STO.COM",,"False"
"L-DAL-AJACKSON3.STO.COM",,"Could not find object."
"TAG1779.STO.COM",,"Could not find object."
"L-DAL-JPIERCE3.STO.COM",,"False"
"L-DAL-PNATHON3.STO.COM",,"False"
"L-DAL-DHORNER2.STO.COM",,"False"
"TAG1924.STO.COM",,"Could not find object."
"L-LFD-SDUBE.STO.COM",,"Could not find object."
"L-AUS-RCARVAN.STO.COM",,"False"
"L-LFD-RPIRO1665.STO.COM",,"Could not find object."
"L-DAL-BFRANKLIN7.STO.COM",,"Could not find object."
"D-LFD-MWHIT1849.STO.COM",,"Could not find object."
"02-02-0412-944L.STO.COM",,"False"
"02-08-0913-589L.STO.COM",,"False"
